                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    125,                 0.7222,                0.83474,                 2.2621,                0.97462,                 0.9675,                0.98246,                0.87309,                0.55093,                0.35618,                 2.0649,              0.0050896,              0.0050896,              0.0050896
                    126,                0.71935,                0.83139,                 2.2478,                0.97487,                0.96723,                0.98217,                0.87379,                0.55106,                0.35583,                 2.0642,                0.00505,                0.00505,                0.00505
                    127,                 0.7121,                 0.8114,                 2.2487,                 0.9749,                0.96768,                0.98192,                0.87315,                0.55129,                0.35562,                 2.0644,              0.0050104,              0.0050104,              0.0050104
                    128,                0.71168,                0.80236,                 2.2508,                0.97493,                0.96733,                0.98184,                0.87258,                0.55152,                0.35506,                 2.0646,              0.0049708,              0.0049708,              0.0049708
                    129,                0.71321,                0.81349,                 2.2458,                0.97489,                 0.9678,                0.98183,                0.87158,                0.55183,                0.35485,                 2.0646,              0.0049312,              0.0049312,              0.0049312
                    130,                0.71178,                0.81086,                 2.2376,                0.97541,                0.96891,                0.98172,                0.87189,                0.55186,                0.35442,                 2.0644,              0.0048916,              0.0048916,              0.0048916
                    131,                 0.7119,                0.80846,                 2.2528,                0.97571,                0.96878,                0.98209,                 0.8723,                0.55154,                0.35427,                 2.0642,               0.004852,               0.004852,               0.004852
                    132,                0.71565,                0.82134,                 2.2623,                0.97563,                0.96837,                0.98212,                0.87233,                0.55141,                0.35405,                  2.064,              0.0048124,              0.0048124,              0.0048124
                    133,                0.71524,                0.80416,                 2.2606,                0.97613,                0.96798,                0.98217,                0.87312,                0.55132,                0.35397,                 2.0636,              0.0047728,              0.0047728,              0.0047728
                    134,                0.70951,                0.80031,                  2.257,                0.97558,                0.96774,                0.98217,                0.87343,                0.55137,                0.35337,                 2.0637,              0.0047332,              0.0047332,              0.0047332
                    135,                0.70865,                0.79791,                 2.2568,                0.97587,                0.96741,                0.98224,                0.87182,                0.55106,                0.35281,                 2.0635,              0.0046936,              0.0046936,              0.0046936
                    136,                 0.7055,                 0.7964,                 2.2428,                0.97593,                0.96716,                0.98227,                0.87189,                0.55102,                0.35238,                  2.063,               0.004654,               0.004654,               0.004654
                    137,                0.71077,                0.80112,                 2.2375,                0.97633,                 0.9652,                0.98211,                0.87091,                0.55093,                0.35201,                 2.0627,              0.0046144,              0.0046144,              0.0046144
                    138,                 0.7053,                0.78254,                 2.2375,                0.97699,                0.96498,                0.98206,                0.87115,                0.55093,                0.35201,                 2.0626,              0.0045748,              0.0045748,              0.0045748
                    139,                0.71762,                0.80935,                 2.2617,                0.97736,                0.96469,                0.98204,                 0.8706,                0.55114,                0.35154,                 2.0626,              0.0045352,              0.0045352,              0.0045352
                    140,                0.70319,                0.77961,                 2.2414,                0.97754,                 0.9643,                0.98257,                0.87172,                0.55101,                 0.3514,                 2.0616,              0.0044956,              0.0044956,              0.0044956
                    141,                0.70631,                0.78401,                 2.2392,                0.97805,                0.96404,                0.98249,                0.87239,                0.55071,                0.35145,                 2.0611,               0.004456,               0.004456,               0.004456
                    142,                0.70503,                0.78225,                  2.242,                0.97841,                0.96387,                0.98249,                0.87205,                0.55074,                0.35104,                 2.0606,              0.0044164,              0.0044164,              0.0044164
                    143,                0.70246,                 0.7776,                 2.2442,                0.97867,                0.96379,                 0.9825,                 0.8718,                0.55078,                 0.3506,                  2.061,              0.0043768,              0.0043768,              0.0043768
                    144,                0.70166,                0.77647,                 2.2321,                0.97896,                0.96376,                0.98245,                0.87193,                0.55084,                0.35004,                 2.0608,              0.0043372,              0.0043372,              0.0043372
                    145,                0.70088,                 0.7777,                 2.2233,                0.97917,                0.96371,                0.98249,                0.87157,                0.55062,                0.34966,                 2.0598,              0.0042976,              0.0042976,              0.0042976
                    146,                0.70424,                 0.7738,                 2.2207,                0.97945,                0.96368,                0.98256,                0.87137,                0.55057,                0.34929,                 2.0594,               0.004258,               0.004258,               0.004258
                    147,                0.69956,                0.77037,                 2.2417,                0.97958,                0.96366,                0.98264,                0.87171,                0.55049,                0.34931,                  2.059,              0.0042184,              0.0042184,              0.0042184
                    148,                0.70589,                0.77826,                 2.2324,                0.97962,                0.96373,                0.98266,                0.87163,                0.55065,                0.34918,                 2.0591,              0.0041788,              0.0041788,              0.0041788
                    149,                0.69555,                0.76684,                 2.2387,                0.97975,                0.96376,                0.98267,                0.87154,                0.55055,                0.34901,                 2.0593,              0.0041392,              0.0041392,              0.0041392
