                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 1.1574,                 2.7433,                 1.5531,                0.61389,                0.19318,                0.22351,                0.13248,                 1.5319,                 3.2437,                 1.9009,             8.2451e-05,             8.2451e-05,             8.2451e-05
                     78,                 1.1403,                 2.7383,                 1.5601,                0.38566,                0.22727,                0.21873,                0.13087,                 1.5232,                 3.2262,                 1.8887,             7.9154e-05,             7.9154e-05,             7.9154e-05
                     79,                 1.1443,                 2.6833,                 1.5423,                0.67957,                0.19318,                0.21911,                0.13914,                 1.5796,                 3.2697,                 1.9198,             7.5857e-05,             7.5857e-05,             7.5857e-05
                     80,                 1.1356,                 2.6775,                 1.5224,                0.79924,                0.15833,                0.22651,                0.13452,                 1.5479,                 3.1894,                 1.8957,             7.2561e-05,             7.2561e-05,             7.2561e-05
                     81,                 1.1469,                 2.7061,                  1.548,                0.38041,                0.28788,                0.20323,                0.12102,                 1.6095,                 3.1595,                 1.9052,             6.9264e-05,             6.9264e-05,             6.9264e-05
                     82,                 1.1153,                 2.6985,                 1.5197,                0.51794,                0.22022,                0.21262,                0.12473,                 1.5797,                 3.1501,                 1.9217,             6.5967e-05,             6.5967e-05,             6.5967e-05
                     83,                 1.1306,                 2.7035,                 1.5314,                0.62631,                0.21591,                0.22962,                0.13836,                  1.588,                 3.1394,                 1.8911,             6.2671e-05,             6.2671e-05,             6.2671e-05
                     84,                  1.125,                 2.6945,                 1.5359,                0.78807,                0.18182,                0.24571,                0.15756,                 1.5512,                 3.1563,                 1.8855,             5.9374e-05,             5.9374e-05,             5.9374e-05
                     85,                 1.1287,                 2.6715,                 1.5235,                0.73104,                0.19318,                0.23669,                 0.1451,                 1.5239,                  3.143,                 1.8502,             5.6077e-05,             5.6077e-05,             5.6077e-05
                     86,                 1.1205,                 2.6542,                 1.5179,                0.75326,                0.19242,                0.21583,                0.12454,                 1.5752,                 3.1473,                 1.8818,             5.2781e-05,             5.2781e-05,             5.2781e-05
                     87,                 1.1281,                 2.6777,                 1.5276,                 0.7567,                0.14773,                0.21596,                0.12759,                 1.5455,                 3.1484,                 1.8846,             4.9484e-05,             4.9484e-05,             4.9484e-05
                     88,                 1.1374,                 2.6574,                 1.5283,                0.75649,                0.19318,                0.21802,                0.11869,                 1.6344,                 3.1108,                 1.9449,             4.6187e-05,             4.6187e-05,             4.6187e-05
                     89,                 1.1413,                 2.7009,                 1.5422,                0.38599,                0.22727,                0.23703,                0.14658,                 1.5307,                 3.1117,                  1.846,              4.289e-05,              4.289e-05,              4.289e-05
                     90,                 1.1181,                 2.6714,                 1.5361,                0.79254,                0.17045,                0.22734,                0.14051,                 1.5268,                  3.097,                 1.8574,             3.9594e-05,             3.9594e-05,             3.9594e-05
                     91,                0.89732,                 2.6344,                 1.3832,                0.59836,                0.20455,                 0.2368,                0.13907,                 1.6287,                 3.1833,                  1.964,             3.6297e-05,             3.6297e-05,             3.6297e-05
                     92,                0.89776,                 2.5652,                 1.3726,                0.33656,                0.26099,                0.23972,                0.13635,                  1.591,                  3.131,                 1.9607,                3.3e-05,                3.3e-05,                3.3e-05
                     93,                0.84593,                 2.4882,                 1.3317,                0.45971,                0.21838,                0.25165,                 0.1518,                 1.5157,                 3.1346,                 1.9129,             2.9704e-05,             2.9704e-05,             2.9704e-05
                     94,                0.86624,                 2.4649,                  1.341,                0.38047,                0.25429,                0.22062,                0.12535,                 1.5427,                    3.1,                 1.9189,             2.6407e-05,             2.6407e-05,             2.6407e-05
                     95,                0.83851,                 2.4385,                 1.3213,                0.63855,                0.19902,                0.21613,                0.12007,                 1.5712,                 3.1224,                 1.9459,              2.311e-05,              2.311e-05,              2.311e-05
                     96,                0.85618,                 2.4545,                 1.3394,                0.62744,                0.19697,                0.20434,                0.11546,                 1.5458,                  3.108,                 1.9278,             1.9814e-05,             1.9814e-05,             1.9814e-05
                     97,                0.84542,                 2.4532,                 1.3409,                0.62745,                 0.2197,                  0.212,                0.11614,                 1.5471,                 3.1111,                 1.9149,             1.6517e-05,             1.6517e-05,             1.6517e-05
                     98,                0.85872,                 2.4291,                 1.3404,                 0.6498,                0.19318,                0.20105,                0.11081,                 1.5663,                 3.1149,                 1.9215,              1.322e-05,              1.322e-05,              1.322e-05
                     99,                0.82017,                 2.4179,                 1.2977,                0.51054,                 0.2197,                0.20735,                0.11955,                  1.534,                 3.1143,                 1.9108,             9.9234e-06,             9.9234e-06,             9.9234e-06
                    100,                0.82329,                 2.4289,                 1.3139,                0.64018,                0.19318,                0.21102,                0.11996,                  1.535,                 3.1341,                 1.9274,             6.6267e-06,             6.6267e-06,             6.6267e-06
